name,In Nepali,meaning
Ojaswi ,ओजस्वी,"Fast, Shine; The illuminated one"
Ojeeta ,ओजीता,no meaning yet
Onushka ,ओनुष्का ,no meaning yet
Oshin ,ओशिन,Please advise us the meaning of this name!
Rabia ,रविया,Famous; godly
Rabina ,रबिना,Please advise use the meaning of this name.
Rabiya ,रबिया,Please advise us the meaning of this name!
Rachana ,रचना,Creation
Rachita ,रचिता,Created
Rachna ,रचना,Construction; arrangement(सिर्जना
Radha ,राधा,"Krishna's lover, prosperity(भगवान कृष्णको प्रेमिका"
Radhika ,राधिका,It is the name of the celebrated Gopi (cowderrdess
Ragini ,रागिनी,A melody
Rajani ,रजनी,Night
Rajkumari ,राजकुमारी,Princess
Rajshri ,राजश्री,Sage-like king(Sage को Meaning google गर्नुहोला !
Rakhi ,राखि,Thread of brother-sister bonding(राखी दिवसमा लगाइने मायाको धागो
Raksha ,रक्षा,Protection
Rama ,रामा,Goddess Lakshmi(देवी लक्ष्मीको nickname
Ramani ,रमणी,Beautiful girl
Rami ,रामी ,"Rami is of Arabic origin. It means ""loving"". In Arabic, Rami (رامي"
Ramila ,रमिला,Lover
Ramita ,रमिता,Pleasing
Ranita ,रनिता,Tinkling
Ranjana ,"रनिता, रंजना",Delightful
Ranjika ,रंजिका,Exciting
Ranjini ,रंजिनी,Pleasing
Ranjita ,रन्जिता,Adorned(Adorned को Meaning google गर्नुहोला !
Rashmi ,"रष्मी, रश्मि ",A ray of light
Rashmika ,राष्मिका,Ray of light
Rasi ,रसि,no meaning yet
Rasika ,रसिका,One who is full of passion; Connoisseur - An expert able to appreciate a field; especially in the fine arts(Connosseur को Meaning google गर्नुहोला !
Rasna ,रसना,The tongue
Rasu ,रसु,no meaning yet
Ratna Laxmi ,रत्न लक्ष्मी,"Ratna means ""Pearl, Precious stone or gem"". Whereas, Laxmi is a Goddess of wealth."
Ratna Maya ,रत्न माया ,no meaning yet
Rayana ,रायाना,Princess
Rebina ,रेबिना,no meaning yet
Reema ,रीमा,"In Hindu, it means Goddess Durga; The goddess of fortune & good luck.
I Urdu, it means Gazelle. White antelope"
Reesika ,रीसिका,Please advise us the meaning of this beautiful name.
Reeya ,रीया ,"Gem, Goddess Lakshmi, GracefulAlso: Riya"
Renu ,रेणु,Atom
Resha ,रेशा,Silk
Reshma ,रेश्मा,Silken
Reshmi ,रेशमी,Silken
Richita ,रिचिता,Quality within you of independence
Riju ,रिजु,Innocent
Rina ,रिना,Song of Joy
Rinchen ,रिन्चेन,"Treasure, Precious (in Tamang and Gurung language"
Rinku ,रिन्कु,no meaning yet
Rishika , ऋषिका,Saintly
Riti ,रिति,Memory; well being
Ritu ,ऋतु,Season
Riya ,रिया,"Graceful, singer"
Riyanshu ,रियाँशु,First Ray of sunlight
Robisha ,रोबिषा ,Please advise us the meaning of Robisha.
Roji ,रोजी,Coloured like a pink or red rose; Red Rose(गुलाफको फुल 
Rojina ,रोजिना,Rajina means bright and lustrous light
Rojshi ,रोज्शी,"The name Roshi is of Arabic origin and means ""Gift of god care for everyone loves everybody polite""."
Rosaleen ,रोसलीन,Bud of Rose
Roshika ,रोशिका,no meaning yet
Roshina ,रोशिना,no meaning yet
